"Notes","Five-Year Age Groups","Five-Year Age Groups Code","Year","Year Code","Sex","Sex Code","Race","Race Code",Deaths,Population,Crude Rate
,"50-54 years","50-54","2010","2010","Male","M","White","2106-3",28,658112,4.3
,"50-54 years","50-54","2011","2011","Male","M","Black or African American","2054-5",23,87973,26.1
,"50-54 years","50-54","2011","2011","Male","M","White","2106-3",44,656793,6.7
,"50-54 years","50-54","2012","2012","Female","F","White","2106-3",16,636489,Unreliable
,"50-54 years","50-54","2012","2012","Male","M","Black or African American","2054-5",32,88588,36.1
,"50-54 years","50-54","2012","2012","Male","M","White","2106-3",34,648786,5.2
,"50-54 years","50-54","2013","2013","Female","F","White","2106-3",10,625906,Unreliable
,"50-54 years","50-54","2013","2013","Male","M","Black or African American","2054-5",20,88052,22.7
,"50-54 years","50-54","2013","2013","Male","M","White","2106-3",34,637565,5.3
,"50-54 years","50-54","2014","2014","Male","M","Black or African American","2054-5",22,87900,25.0
,"50-54 years","50-54","2014","2014","Male","M","White","2106-3",20,625617,3.2
,"50-54 years","50-54","2015","2015","Female","F","White","2106-3",10,594298,Unreliable
,"50-54 years","50-54","2015","2015","Male","M","Black or African American","2054-5",29,86698,33.4
,"50-54 years","50-54","2015","2015","Male","M","White","2106-3",28,604522,4.6
,"50-54 years","50-54","2016","2016","Female","F","White","2106-3",10,564591,Unreliable
,"50-54 years","50-54","2016","2016","Male","M","Black or African American","2054-5",27,84141,32.1
,"50-54 years","50-54","2016","2016","Male","M","White","2106-3",32,575926,5.6
,"50-54 years","50-54","2017","2017","Female","F","White","2106-3",14,538832,Unreliable
,"50-54 years","50-54","2017","2017","Male","M","Black or African American","2054-5",29,81894,35.4
,"50-54 years","50-54","2017","2017","Male","M","White","2106-3",29,551175,5.3
,"55-59 years","55-59","1999","1999","Male","M","White","2106-3",12,443186,Unreliable
,"55-59 years","55-59","2000","2000","Male","M","Black or African American","2054-5",10,42344,Unreliable
