"Notes","Five-Year Age Groups","Five-Year Age Groups Code","Year","Year Code","Sex","Sex Code","Race","Race Code",Deaths,Population,Crude Rate
,"35-39 years","35-39","2011","2011","Male","M","White","2106-3",116,448874,25.8
,"35-39 years","35-39","2012","2012","Female","F","White","2106-3",36,417512,8.6
,"35-39 years","35-39","2012","2012","Male","M","Black or African American","2054-5",11,72436,Unreliable
,"35-39 years","35-39","2012","2012","Male","M","White","2106-3",127,445539,28.5
,"35-39 years","35-39","2013","2013","Female","F","White","2106-3",40,421151,9.5
,"35-39 years","35-39","2013","2013","Male","M","Black or African American","2054-5",11,73086,Unreliable
,"35-39 years","35-39","2013","2013","Male","M","White","2106-3",116,449590,25.8
,"35-39 years","35-39","2014","2014","Female","F","White","2106-3",39,427817,9.1
,"35-39 years","35-39","2014","2014","Male","M","White","2106-3",126,455992,27.6
,"35-39 years","35-39","2015","2015","Female","F","White","2106-3",45,436990,10.3
,"35-39 years","35-39","2015","2015","Male","M","Black or African American","2054-5",13,77956,Unreliable
,"35-39 years","35-39","2015","2015","Male","M","White","2106-3",138,468134,29.5
,"35-39 years","35-39","2016","2016","Female","F","White","2106-3",39,447138,8.7
,"35-39 years","35-39","2016","2016","Male","M","Black or African American","2054-5",13,79057,Unreliable
,"35-39 years","35-39","2016","2016","Male","M","White","2106-3",137,479749,28.6
,"35-39 years","35-39","2017","2017","Female","F","White","2106-3",22,454753,4.8
,"35-39 years","35-39","2017","2017","Male","M","Black or African American","2054-5",22,81583,27.0
,"35-39 years","35-39","2017","2017","Male","M","White","2106-3",132,490770,26.9
,"40-44 years","40-44","1999","1999","Female","F","White","2106-3",71,697834,10.2
,"40-44 years","40-44","1999","1999","Male","M","Black or African American","2054-5",12,91743,Unreliable
,"40-44 years","40-44","1999","1999","Male","M","White","2106-3",166,721199,23.0
,"40-44 years","40-44","2000","2000","Female","F","White","2106-3",59,699052,8.4
,"40-44 years","40-44","2000","2000","Male","M","Black or African American","2054-5",14,93956,Unreliable
,"40-44 years","40-44","2000","2000","Male","M","White","2106-3",194,723976,26.8
,"40-44 years","40-44","2001","2001","Female","F","White","2106-3",48,699068,6.9
,"40-44 years","40-44","2001","2001","Male","M","White","2106-3",156,724930,21.5
,"40-44 years","40-44","2002","2002","Female","F","White","2106-3",63,689963,9.1
,"40-44 years","40-44","2002","2002","Male","M","Black or African American","2054-5",16,96906,Unreliable
,"40-44 years","40-44","2002","2002","Male","M","White","2106-3",198,716178,27.6
,"40-44 years","40-44","2003","2003","Female","F","White","2106-3",63,678989,9.3
,"40-44 years","40-44","2003","2003","Male","M","Black or African American","2054-5",10,97104,Unreliable
,"40-44 years","40-44","2003","2003","Male","M","White","2106-3",219,703555,31.1
,"40-44 years","40-44","2004","2004","Female","F","White","2106-3",69,666662,10.4
,"40-44 years","40-44","2004","2004","Male","M","White","2106-3",205,690205,29.7
,"40-44 years","40-44","2005","2005","Female","F","White","2106-3",61,642144,9.5
,"40-44 years","40-44","2005","2005","Male","M","Black or African American","2054-5",11,95523,Unreliable
,"40-44 years","40-44","2005","2005","Male","M","White","2106-3",156,663099,23.5
,"40-44 years","40-44","2006","2006","Female","F","White","2106-3",55,607154,9.1
,"40-44 years","40-44","2006","2006","Male","M","Black or African American","2054-5",10,93250,Unreliable
,"40-44 years","40-44","2006","2006","Male","M","White","2106-3",170,628720,27.0
,"40-44 years","40-44","2007","2007","Female","F","White","2106-3",73,574302,12.7
,"40-44 years","40-44","2007","2007","Male","M","Black or African American","2054-5",13,90026,Unreliable
,"40-44 years","40-44","2007","2007","Male","M","White","2106-3",163,595072,27.4
,"40-44 years","40-44","2008","2008","Female","F","White","2106-3",70,545680,12.8
,"40-44 years","40-44","2008","2008","Male","M","Black or African American","2054-5",14,87395,Unreliable
,"40-44 years","40-44","2008","2008","Male","M","White","2106-3",181,567220,31.9
,"40-44 years","40-44","2009","2009","Female","F","White","2106-3",62,522794,11.9
,"40-44 years","40-44","2009","2009","Male","M","White","2106-3",171,543732,31.4
,"40-44 years","40-44","2010","2010","Female","F","White","2106-3",50,513632,9.7
,"40-44 years","40-44","2010","2010","Male","M","Black or African American","2054-5",17,83788,Unreliable
,"40-44 years","40-44","2010","2010","Male","M","White","2106-3",144,535383,26.9
,"40-44 years","40-44","2011","2011","Female","F","White","2106-3",69,508108,13.6
,"40-44 years","40-44","2011","2011","Male","M","Black or African American","2054-5",11,82893,Unreliable
,"40-44 years","40-44","2011","2011","Male","M","White","2106-3",169,530415,31.9
,"40-44 years","40-44","2012","2012","Female","F","White","2106-3",56,496795,11.3
,"40-44 years","40-44","2012","2012","Male","M","Black or African American","2054-5",12,81520,Unreliable
,"40-44 years","40-44","2012","2012","Male","M","White","2106-3",168,519775,32.3
,"40-44 years","40-44","2013","2013","Female","F","White","2106-3",53,479998,11.0
,"40-44 years","40-44","2013","2013","Male","M","Black or African American","2054-5",11,78510,Unreliable
,"40-44 years","40-44","2013","2013","Male","M","White","2106-3",163,503344,32.4
,"40-44 years","40-44","2014","2014","Female","F","White","2106-3",54,458242,11.8
,"40-44 years","40-44","2014","2014","Male","M","White","2106-3",141,483880,29.1
,"40-44 years","40-44","2015","2015","Female","F","White","2106-3",64,436290,14.7
,"40-44 years","40-44","2015","2015","Male","M","Black or African American","2054-5",14,74219,Unreliable
,"40-44 years","40-44","2015","2015","Male","M","White","2106-3",126,462289,27.3
,"40-44 years","40-44","2016","2016","Female","F","White","2106-3",45,416909,10.8
,"40-44 years","40-44","2016","2016","Male","M","White","2106-3",128,442639,28.9
,"40-44 years","40-44","2017","2017","Female","F","White","2106-3",53,410450,12.9
,"40-44 years","40-44","2017","2017","Male","M","White","2106-3",131,437920,29.9
,"45-49 years","45-49","1999","1999","Female","F","White","2106-3",82,651506,12.6
,"45-49 years","45-49","1999","1999","Male","M","Black or African American","2054-5",10,72334,Unreliable
,"45-49 years","45-49","1999","1999","Male","M","White","2106-3",191,655996,29.1
,"45-49 years","45-49","2000","2000","Female","F","White","2106-3",61,661755,9.2
,"45-49 years","45-49","2000","2000","Male","M","White","2106-3",165,665957,24.8
,"45-49 years","45-49","2001","2001","Female","F","White","2106-3",44,669133,6.6
,"45-49 years","45-49","2001","2001","Male","M","Black or African American","2054-5",10,77693,Unreliable
,"45-49 years","45-49","2001","2001","Male","M","White","2106-3",179,676097,26.5
,"45-49 years","45-49","2002","2002","Female","F","White","2106-3",77,676915,11.4
,"45-49 years","45-49","2002","2002","Male","M","Black or African American","2054-5",11,80784,Unreliable
,"45-49 years","45-49","2002","2002","Male","M","White","2106-3",181,686579,26.4
,"45-49 years","45-49","2003","2003","Female","F","White","2106-3",70,679886,10.3
,"45-49 years","45-49","2003","2003","Male","M","White","2106-3",207,693413,29.9
,"45-49 years","45-49","2004","2004","Female","F","White","2106-3",88,674846,13.0
,"45-49 years","45-49","2004","2004","Male","M","Black or African American","2054-5",12,86200,Unreliable
,"45-49 years","45-49","2004","2004","Male","M","White","2106-3",189,691474,27.3
,"45-49 years","45-49","2005","2005","Female","F","White","2106-3",85,670864,12.7
,"45-49 years","45-49","2005","2005","Male","M","White","2106-3",207,691141,30.0
,"45-49 years","45-49","2006","2006","Female","F","White","2106-3",91,665862,13.7
,"45-49 years","45-49","2006","2006","Male","M","Black or African American","2054-5",11,90499,Unreliable
,"45-49 years","45-49","2006","2006","Male","M","White","2106-3",211,686778,30.7
,"45-49 years","45-49","2007","2007","Female","F","White","2106-3",89,653477,13.6
,"45-49 years","45-49","2007","2007","Male","M","Black or African American","2054-5",15,91602,Unreliable
